File,ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
wals-chapter-50,50A-cyv,cyv,Cayuvava,50A,Asymmetrical Case-Marking,Symmetrical,"Key-1967[28-29, 32, 65]",
wals-chapter-50,50A-dio,dio,Diola-Fogny,50A,Asymmetrical Case-Marking,No case-marking,Sapir-1965[passim],
wals-chapter-50,50A-arm,arm,Armenian (Eastern),50A,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,"Kozintseva-1995[10, 13]",
wals-chapter-50,50A-aym,aym,Aymara (Central),50A,Asymmetrical Case-Marking,Symmetrical,"Hardman-de-Bautista-et-al-1988[210-227, 233-235]",
wals-chapter-50,50A-baw,baw,Bawm,50A,Asymmetrical Case-Marking,Symmetrical,"Reichle-1981[26-35, 51-53, 112-122]",
wals-chapter-50,50A-nbd,nbd,Nubian (Dongolese),50A,Asymmetrical Case-Marking,Symmetrical,"Armbruster-1960[130, 132-133, 299-307, 314, 161-165, 171-174]",
wals-chapter-50,50A-wrd,wrd,Wardaman,50A,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,"Merlan-1994[63-86, 107-121, 137-144, 150-153]",
wals-chapter-50,50A-hai,hai,Haida,50A,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,Levine-1977[171-174],
wals-chapter-50,50A-kmu,kmu,Khmu',50A,Asymmetrical Case-Marking,No case-marking,Premsrirat-1987[passim],
wals-chapter-50,50A-usa,usa,Usan,50A,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,"Reesink-1987[52-57, 60, 76-77, 85-86, 108, 112-113, 154-159]",
wals-chapter-50,50A-pai,pai,Paiwan,50A,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,"Egli-1990[154-158, 169-202]",
wals-chapter-50,50A-ung,ung,Ungarinjin,50A,Asymmetrical Case-Marking,Subtractive-quantitatively asymmetrical,"Rumsey-1982[31, 51-53, 60-74]",
wals-chapter-50,50A-bej,bej,Beja,50A,Asymmetrical Case-Marking,Syncretism in relevant NP-types,"Hudson-1974[119-121, 123-126]",
wals-chapter-50,50A-dre,dre,Drehu,50A,Asymmetrical Case-Marking,No case-marking,"Moyse-Faurie-1983[76, 146-152]",
wals-chapter-50,50A-gar,gar,Garo,50A,Asymmetrical Case-Marking,Symmetrical,Burling-1961[45-49],
wals-chapter-50,50A-pms,pms,Paamese,50A,Asymmetrical Case-Marking,No case-marking,"Crowley-1982[74, 79-81, 142, 181-184]",
wals-chapter-50,50A-mss,mss,Miwok (Southern Sierra),50A,Asymmetrical Case-Marking,Symmetrical,"Broadbent-1964[49-54, 92-95]",
wals-chapter-50,50A-sml,sml,Semelai,50A,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,"Kruspe-1999[149-152, 155, 268-277, 409-421]",
wals-chapter-50,50A-yur,yur,Yurok,50A,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,"Robins-1958[20-21, 23-25]",
wals-chapter-50,50A-dag,dag,Daga,50A,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,"Murane-1974[15-16, 18-19, 34-35, 108-112]",
wals-chapter-50,50A-igb,igb,Igbo,50A,Asymmetrical Case-Marking,No case-marking,"Green-and-Igwe-1963[20-26, 32-36]",
wals-chapter-50,50A-nez,nez,Nez Perce,50A,Asymmetrical Case-Marking,Symmetrical,"Aoki-1970[71-80];Rude-1985[82-120, 122-132]",
wals-chapter-50,50A-brh,brh,Brahui,50A,Asymmetrical Case-Marking,Symmetrical,"Andronov-1980[36-43, 49, 51-52]",
wals-chapter-50,50A-cah,cah,Cahuilla,50A,Asymmetrical Case-Marking,Symmetrical,"Seiler-1977[65-73, 78-83, 105-107, 110-120, 201-203]",
wals-chapter-50,50A-cle,cle,Chinantec (Lealao),50A,Asymmetrical Case-Marking,No case-marking,Rupp-1989[passim],
wals-chapter-50,50A-knm,knm,Kunama,50A,Asymmetrical Case-Marking,Symmetrical,"Bohm-1984[9-12, 88-95];Bender-1996[13-15, 17-18]",
wals-chapter-50,50A-nav,nav,Navajo,50A,Asymmetrical Case-Marking,No case-marking,"Young-and-Morgan-1980[17-20, 26-36]",
wals-chapter-50,50A-zqc,zqc,Zoque (Copainalá),50A,Asymmetrical Case-Marking,Symmetrical,"Harrison-et-al-1981[405, 407-409, 415-419, 440-441]",
wals-chapter-50,50A-bkr,bkr,Batak (Karo),50A,Asymmetrical Case-Marking,No case-marking,Woollams-1996[passim],
wals-chapter-50,50A-cmn,cmn,Comanche,50A,Asymmetrical Case-Marking,Subtractive-quantitatively asymmetrical,"Charney-1993[48-49, 53-58, 72-90, 98-103]",
wals-chapter-50,50A-iri,iri,Irish,50A,Asymmetrical Case-Marking,Symmetrical,"Bammesberger-1982[30-35, 54-58]",
wals-chapter-50,50A-nko,nko,Nkore-Kiga,50A,Asymmetrical Case-Marking,No case-marking,Taylor-1985[passim],
wals-chapter-50,50A-squ,squ,Squamish,50A,Asymmetrical Case-Marking,Syncretism in relevant NP-types,"Kuipers-1967[136-137, 142-143, 169-170]",
wals-chapter-50,50A-tru,tru,Trumai,50A,Asymmetrical Case-Marking,Symmetrical,"Guirardello-1999a[71-76, 267-286]",
wals-chapter-50,50A-dni,dni,Dani (Lower Grand Valley),50A,Asymmetrical Case-Marking,Symmetrical,Bromley-1981[78-88],
